Dates,Prec,ETP,Q_obs
25/12/1967,    0.0000,3.7165096402,13.1000003815
26/12/1967,    0.0000,3.0622034092,12.3800001144
27/12/1967,    0.0000,3.2989980886,11.6999998093
28/12/1967,    0.0000,3.3569127582,11.3100004196
29/12/1967,    0.0000,3.3035947476,11.0200004578
30/12/1967,    0.0000,3.6281818161,10.75
31/12/1967,    0.0000,3.5215085568,10.5100002289
01/01/1968,    0.2719,4.0089467242,10.470000267
02/01/1968,    0.0000,3.7461048765,10.4399995804
03/01/1968,    0.0000,3.6384785036,10.1999998093
04/01/1968,    0.0000,3.7939061848,9.9239997864
05/01/1968,    0.0000,4.3547728583,9.6420001984
06/01/1968,    0.0000,4.0783427116,9.2100000381
07/01/1968,    0.0000,4.1512554567,8.9320001602
08/01/1968,    0.0000,3.9782637106,8.6850004196
09/01/1968,    0.0000,3.8565020906,8.4689998627
10/01/1968,    0.0372,2.4764413079,8.406999588
11/01/1968,    0.0000,2.9972861689,8.1920003891
12/01/1968,    0.0000,3.54304069,7.9140000343
13/01/1968,    0.0000,3.1477658302,7.4819998741
14/01/1968,    0.0000,3.5696348082,7.2350001335
15/01/1968,    0.0000,4.063915696,7.1729998589
16/01/1968,    0.0000,3.1917211805,6.9569997787
17/01/1968,    0.0000,3.2758207889,6.6890001297
18/01/1968,    0.0000,2.9965564096,6.3439998627
19/01/1968,    0.0000,2.6913919803,6.265999794
20/01/1968,    0.0000,3.2582952436,6.0570001602
21/01/1968,    0.0000,3.9786430895,5.6649999619
22/01/1968,    0.0000,4.0018583667,5.271999836
23/01/1968,    1.6744,4.1953477506,5.0110001564
24/01/1968,    0.0000,3.6826889152,4.623000145
25/01/1968,    0.0000,3.7199814003,4.2569999695
26/01/1968,    0.0000,3.9873472229,4.0300002098
27/01/1968,    0.0000,3.4046986559,3.6949999332
28/01/1968,    0.0000,3.5644345405,3.3599998951
29/01/1968,    0.0000,3.9561340883,3.1809999943
30/01/1968,    0.0000,3.650701669,3.1370000839
31/01/1968,    0.1147,3.6160776913,3.0020000935
01/02/1968,    0.0000,3.4703627098,2.9800000191
02/02/1968,    0.0000,4.5395829286,2.9609999657
03/02/1968,    0.0000,3.9825402591,2.8450000286
04/02/1968,    0.0000,4.0613960475,2.8069999218
05/02/1968,    0.8406,4.2708739508,2.6900000572
06/02/1968,    0.0000,4.1281009205,2.6519999504
07/02/1968,    0.0000,4.7905566301,2.5360000134
08/02/1968,    0.0000,4.7857460994,2.5169999599
